定位编号,颜色,原稿位置,原稿完整上下文,第一版现状,Excel编号,老师意见时间码,责任组,处理结论,影响范围
W11,红色高亮+黄色,正文段落P130,细格栅设计损失0.078 m，小于高程段采用的0.150 m，剩余0.072 m用于设备和局部构造；因此0.15 m是有计算支撑的段落差，不是把预留直接当实算损失。渠壁自渠底高1.50 m，最大运行水深1.00 m时仍满足工作平台高出最高设计水位0.50 m。,已删除/已改/已清标,"3,A4",08:23-12:18,02,保留结构后改值/改正,正文、公式、表格、设备、图3-1/图5-1
W12,红色高亮,正文段落P132,设备？,已删除/已改/已清标,4,08:23-12:18,02,删除或改正,正文、公式、表格、设备、图3-1/图5-1
W13,红色高亮,正文段落P135,25 mm粗格栅湿栅渣按0.05 m³/10³m³取5.4 m³/d；10 mm细格栅在粗格栅后的增量缺少实测，暂按同值作设备上界。两级合计10.8 m³/d；按湿密度960 kg/m³约10.4 t/d，不是干固体量。两级各设2台机械格栅，配密闭输送压榨；细格栅单台水力能力不小于0.9375 m³/s，具体型号、功率和压榨减容率由厂家数据确定。,已删除/已改/已清标,5,08:23-12:18,02,删除或改正,正文、公式、表格、设备、图3-1/图5-1
W14,黄色,正文段落P153,采用2座矩形曝气沉砂池，每座按最高时流量的一半Q=6750/2/3600=0.9375 m³/s作工艺校核。单池L=30.0 m、B=3.80 m、有效水深h=2.55 m，V=290.70 m³。GB50014—2021第7.4.3条的准确措辞为水平流速不宜大于0.1 m/s、停留时间宜大于5 min；水深2～3 m，宽深比1～1.5，线供气量5～12 L/(m·s)。,已删除/已改/已清标,14,12:26-15:37,05,改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W15,黄色,正文段落P157,图6-1 曝气沉砂池计算草图,已删除/已改/已清标,"41,45,C4",12:26-15:37,05,改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W16,黄色,正文段落P160,按0.03 m³砂/1000 m³污水的课程取值，平均每池砂量1.62 m³/d，？？？两日为3.24 m³。截头方锥砂斗几何容积3.26 m³，其中有效工作容积控制为3.20 m³，余量作为顶部留空。GB 50014—2021第7.4.6条规定储砂量不应大于2 d砂量；本设计采用每日排砂，有效工作容积对应1.98 d。砂斗斜面角约61.9°。,已删除/已改/已清标,"15,37,41",12:26-15:37,05,改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W17,黄色,正文段落P165,按教师意见初沉池采用平流式。设4座平流式初沉池（对应两条水线、每线2座），单池净长L=58.0 m、净宽B=14.5 m、有效水深H=3.5 m，单池净面积841.0 m²、总净面积3364.0 m²。,已删除/已改/已清标,16,17:21-20:23,05,改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W18,黄色,正文段落P169,形式比较与取值理由：平流式沉淀池构造简单、采用桁车式刮泥机、抗冲击负荷好、出水稳定，是初沉池常用形式；辐流式单池面积大、周边传动刮泥机成熟，但用于初沉时池深大、构造复杂。本工程按教师意见取平流式，4座分两条水线。水力校核：最高时表面负荷2.007 m³/(m²·h)（教师建议约2.0，已符合）、平均日1.338 m³/(m²·h)，位于GB 50014—2021初沉池常用范围（约1.5～3.0 m³/(m²·h)）内；沉淀时间最高时1.744 h、平均日2.616 h（常用1.0～2.0 h，平均日水量低故较长）；最高时水平流速v=Q/(BH)=0.46875/(14.5×3.5)=0.0092 m/s，处于平流池常用范围（约0.005～0.010 m/s）内；长宽比L/B=4.0、长深比L/H=16.6，满足平流池长宽比不宜小于4、长深比不宜小于8的常用要求。,已删除/已改/已清标,"16,17",17:21-20:23,05,改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W19,黄色,正文段落P171,图7-1 平流式初次沉淀池平剖计算草图,已删除/已改/已清标,"42,45,C4",17:21-20:23,05,改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W20,黄色,正文段落P175,按排泥含固率4%估算初沉污泥375 m³/d，单池4 h贮泥需求15.625 m³。进水端设横向泥斗，上口3.0 m（纵向）×14.5 m（池宽），下口0.8 m×0.8 m，深2.0 m，纵向斗壁与水平面夹角约61.2°（不小于55°），按棱台计有效容积约34.09 m³，大于4 h贮泥需求，满足GB 50014—2021第7.5.5条机械排泥初沉池按4 h污泥量校核，并与产泥量闭合。四池设桁车式刮泥机、池底纵向坡度0.01坡向泥斗，并设独立排泥阀。,已改或已清标，但本轮仍需技术复核,"18,42",17:21-20:23,05,保留结构后改值/改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W21,黄色,正文段落P181,设置4个完全独立系列，每系列有效净水面70 m×45 m、净水深5 m，有效容积15750 m³，总容积63000 m³。70 m×45 m是水面净尺寸，6条廊道各按7.5 m净水宽计；外墙和隔墙厚度在结构外轮廓中另加，不占用上述有效容积。平均日流量下总HRT=63000/4500=14 h，最高时流量下总HRT=63000/6750=9.33 h，均在A²/O常规水力停留时间范围内（GB 50014—2021及HJ 576—2010）。按厌氧1.5 h、缺氧4.8 h、好氧7.7 h分配，总容积依次为6750、21600和34650 m³。单系列等效流长420 m：第1廊45 m厌氧+25 m缺氧，第2廊70 m缺氧，第3廊49 m缺氧+21 m好氧，第4～6廊好氧。,已改或已清标，但本轮仍需技术复核,19,20:23-21:34,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W22,红色高亮,正文段落P197,RAS最不利路径由二沉配水/回流节点至对应A²/O厌氧入口的同坐标线路取得；按最高时回流量，DN500单池支管损失0.449 m、DN700系列管损0.383 m，合计0.832 m。加二沉水面EL31.40至A²/O入口EL32.60静差1.20 m及0.50 m余量，所需2.532 m，取3.0 m。内回流管沿单系列池外125 m，动态0.333 m，加0.60 m余量需0.933 m，取1.2 m。,已删除/已改/已清标,"6,A3",22:57-28:46,10,删除或改正,正文表述、目录、参考文献与终检
W23,红色高亮,正文段落P199,"因进水NH₄-N未给定，以TN负荷4800 kg/d减日均NH₄-N出水上限864 kg/d，得到硝化设备容量上界3936 kgN/d。采用EPA表4-4的AOB参数：μmax,20=0.90 d⁻¹、b20=0.17 d⁻¹、KN=0.70 mg/L、KO=0.50 mg/L、Y=0.15，温度系数分别1.072和1.029；按NH₄-N=8 mg/L、DO=2 mg/L。",已改或已清标，但本轮仍需技术复核,27,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W24,红色高亮,正文段落P202,设计系统SRT为临界值的2.20倍，作为15℃课程筛查有余量。该式显式考虑好氧体积分数，避免把20 d系统SRT直接等同为好氧SRT；真实最低水温、TKN、pH、碱度和抑制物仍须现场验证。,已改或已清标，但本轮仍需技术复核,27,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W25,红色高亮,正文段落P211,日储供能力取12000 kg/d，较计算日量留有16.2%余量。计量泵按最高时投加能力复核：容量日量折合峰时约645.2 kg/h，采用2台100%容量泵、单泵额定不小于700 kg/h。该工况将原水可利用反硝化碳贡献取0，且为容量保守不扣甲醇新增生物量的氮同化；因此它是药剂上限，不是运行时精确投加量。去除硝酸盐部分所需纯甲醇为3.322 g/gNO₃-N，位于EPA手册约2.7～3.3 g/g的上沿；内回流携氧另行增加用量。,已改或已清标，但本轮仍需技术复核,27,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W26,红色高亮,正文段落P218,EPA式4-39给出甲醇SDNR温度关系SDNR=0.0738×1.11^(T−20)。15℃为0.0437967 kgN/(kgMLVSS·d)。缺氧区21600 m³，按基准MLSS 3.5 kg/m³和MLVSS比例0.75：,已改或已清标，但本轮仍需技术复核,27,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W27,红色高亮,正文段落P225,40% FeCl₃溶液密度按1.40 t/m³，则计算量6.225 m³/d；加20%日储供容量取7.47 m³/d。最高时计量能力为0.389 m³/h，采用2台100%容量泵、单泵额定0.45 m³/h。EPA手册第9章示例可支持40%溶液和1.4 kg/L密度作为课程假设，实际产品浓度和密度须由供货证书校正。,已改或已清标，但本轮仍需技术复核,27,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W28,红色高亮,正文段落P227,图9-1 投药与固体闭合边界,已删除/已改/已清标,"27,C4",见Excel事项与原稿标色,09,删除或改正,位图题注、尺寸和箭头
W29,红色高亮,正文段落P242,"甲醇容量工况净生物固体2,242.1 kg/d已包含于3.5 kg/m³基准库存与11025 kg/d基准排出中，不再向二沉通量重复相加。扣除基准异养和甲醇净生物量后，基准排出剩余5,928.3 kg/d，作为普通进水惰性/可降解残余及硝化菌固体的闭合分配，占初沉后SS负荷的39.5%，小于其15000 kg/d输入。这是课程质量平衡假设，不是实测VSS分级。",已改或已清标，但本轮仍需技术复核,"9,27",22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W30,红色高亮,正文段落P250,采用氧利用率EA=25%、α=0.80、β=0.95、25℃、池内DO=2 mg/L。尾气氧体积分数及4.75 m淹没的中深饱和浓度按同一压力基准计算：,已改或已清标，但本轮仍需技术复核,"20,21",28:53-30:30,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W31,红色高亮,正文段落P256,"取54000 Nm³/h，折算现场氧能力2,718.4 kg/h，比设计AOR高10.6%。按每盘5.0 Nm³/h配置10800盘，每系列2700盘；曝气器参考Xylem Sanitaire Silver Series II标准229 mm盘式微孔曝气器，官方样本给出0.8～6.8 Nm³/h和每米淹没深度SOTE 6%～8%的能力包络，5.0在样本范围内，但池内均匀性仍须由布管和现场氧转移测试确认。",已改或已清标，但本轮仍需技术复核,21,28:53-30:30,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W32,红色高亮,正文段落P260,鼓风机参考AERZEN AT 200-0.8 S G5plus，共10台、9用1备；每台标准风量6000 Nm³/h，9台工作组合54000 Nm³/h不低于计算需求48808 Nm³/h。官方G5plus型录的AT 200-0.8 S能力包络为800 mbar、入口体积流量2700～8400 m³/h、最大165 kW。6000 Nm³/h为标准状态体积，型录工作点另按入口温度、绝压和湿度换算。,仍有黄色标记，未完成,"7,A2",28:53-30:30,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W33,红色高亮,正文段落P264,反解型录上限得到有效入口绝压下限91.70 kPa；再考虑3 kPa过滤压降时，环境绝压宜不低于94.70 kPa。厂址海拔/气压未给定，若实测低于该边界或入口温度更高，应增加工作台数或提高型号。厂家仍须用完整曲线确认效率、轴功率、喘振和噪声。,已改或已清标，但本轮仍需技术复核,"7,A2",28:53-30:30,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W34,红色高亮,正文段落P270,采用8座辐流式二沉池，每条水线4座；净径37 m，中心井D6 m，沉淀区有效水深3.1 m。总净面积为：,已改或已清标，但本轮仍需技术复核,"34,B2",31:27-33:33,05,保留结构后改值/改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W35,红色高亮,正文段落P293,中心线D33 m双侧环形堰，每池堰长207.35 m，按最高时单池0.234375 m³/s，堰负荷1.130 L/(m·s)，小于1.7 L/(m·s)。按0.20 m间距约1037个堰口。单池混合液支管DN900、最高时0.4102 m³/s、流速0.645 m/s；出水DN700、0.2344 m³/s、0.609 m/s。,已改或已清标，但本轮仍需技术复核,B2,31:27-33:33,05,保留结构后改值/改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W36,红色高亮,正文段落P296,压力管采用Darcy-Weisbach式，课程阶段统一λ=0.020；局部损失用Σζ。长度取总平面中心线折线，公共段只计一次、支管取最不利单支；表中长度均为总平面计算草图的中心线量取值（非实测，含泵房内12 m布置假定），后续CAD总图确定后须逐段替换重算。GB 50014—2021第7.1.5条规定水泵提升进厂时，应按工作水泵最大组合流量校核相连管渠及处理设施配水系统，因此本章按6750 m³/h。,已改或已清标，但本轮仍需技术复核,"8,C3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W37,红色高亮,正文段落P302,泵至细格栅按0.9375 m³/s计算，DN1000流速1.194 m/s、损失0.196 m。分配和汇流段按所带池数确定流量；单支管采用该支服务的最大组合流量。后续CAD总图若调整中心线长度，管损和高程表应同步更新。,已删除/已改/已清标,8,34:31-35:11,07,删除或改正,管线表、坐标、管损与总平面
W38,黄色,正文段落P307,初沉每条水线设1座配水井，向2座池分流；二沉设置4座配水井，每井对应1个A²/O系列并向2座二沉池分流。堰顶等高，各支路设闸门和流量测量。正常由工作泵台数调节，管渠、堰口和配水井入口具备6750 m³/h最高时组合过水能力。,已改或已清标，但本轮仍需技术复核,22,37:30-40:13,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W39,黄色,正文段落P325,图14-1 全厂水线高程控制草图,已删除/已改/已清标,"44,45,C4",40:19-41:37,08,改正,表14-1/14-2、水位与高程图
W40,黄色,正文段落P330,九段采用落差合计3.90 m，等于细格栅前34.30 m至控制井30.40 m的水位差；每段采用落差均不小于当前已计算的管损、堰差或池内损失，剩余范围为0.025～0.250 m。设备和构造确定后，应在相应段内消耗余量，不跨段重复使用。,仍有黄色标记，未完成,"A4,44",40:19-41:37,08,保留结构后改值/改正,表14-1/14-2、水位与高程图
W41,黄色,正文段落P340,设置2格折流接触池，每格45 m×8 m×4.8 m，总有效容积3456 m³。按最高时（3台工作泵组合）6750 m³/h：,标记已清但3台工作泵文字仍残留，未完成,"23,24,A1",33:52-34:17;41:31-46:05,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W42,黄色,正文段落P344,30 min为课程设计假设。由于任务书未给出进水粪大肠菌群、余氯、消毒剂需量或CT试验，本阶段预留药剂投加接口，固定剂量在现场需求试验后确定，并按GB 18918表4瞬时粪大肠菌群限值校准。若采用次氯酸钠消毒，课程阶段暂按有效氯投加量3～5 mg/L、接触30 min预留加药能力（工程假定，须经消毒试验和余氯控制确认）；若采用紫外消毒，则按设计流量和透光率由厂家选型。两条1.50 m长喉道临界流量计各按0.9375 m³/s，矩形临界水深yc=(Q²/gb²)^(1/3)=0.341 m；最终需按选用的标准槽型标定。,已改或已清标，但本轮仍需技术复核,"23,24,26",33:52-34:17;41:31-46:05,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W43,黄色,表T3-R4-C1,3台工作泵组合,仍有黄色标记，未完成,A1,00:21-00:55;03:37-04:11;11:48-12:18,02,保留结构后改值/改正,正文、公式、表格、设备、图3-1/图5-1
W44,红色高亮,表T6-R4-C1,基准MLSS/MLVSS,已改或已清标，但本轮仍需技术复核,9,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W45,红色高亮,表T6-R4-C2,3.5 kg/m³；0.75,已改或已清标，但本轮仍需技术复核,9,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W46,红色高亮,表T6-R6-C2,0.75/2.50Q,已改或已清标，但本轮仍需技术复核,B2,22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W47,红色高亮,表T9-R4-C2,0.000/0.000m,已改或已清标，但本轮仍需技术复核,B2,08:23-12:18,02,保留结构后改值/改正,正文、公式、表格、设备、图3-1/图5-1
W48,黄色,表T16-R2-C4,1266 m³/h，H=3.0 m，18.5 kW,仍有黄色标记，未完成,"25,A3",22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W49,黄色,表T16-R3-C4,4219 m³/h，H=1.2 m，22 kW,仍有黄色标记，未完成,"25,A3",22:57-28:46,03/04,保留结构后改值/改正,正文、公式、参数表、药剂/回流/曝气设备、图9-1
W50,红色高亮,表T20-R2-C1,最高时表面负荷,已改或已清标，但本轮仍需技术复核,"34,B2",31:27-33:33,05,保留结构后改值/改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W51,红色高亮,表T21-R3-C1,坡底楔体,已改或已清标，但本轮仍需技术复核,"34,B2",31:27-33:33,05,保留结构后改值/改正,正文、尺寸表、高程接口、图6-1/图7-1/图11-1
W52,红色高亮,表T23-R1-C3,曼哈顿长度 m,已改或已清标，但本轮仍需技术复核,B3,34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W53,红色高亮,表T23-R2-C2,"(360,280)→(360,270)→(335,270)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W54,红色高亮,表T23-R3-C2,"(300,260)→(270,260)→(270,270)→(200,270)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W55,红色高亮,表T23-R4-C2,"(300,245)→(270,245)→(270,230)→(200,230)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W56,红色高亮,表T23-R5-C2,"(200,230)→(200,177.5)→(155,177.5)→(155,127.5)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W57,红色高亮,表T23-R6-C2,"(85,177.5)→(245,177.5)→(245,145)→(245,75)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W58,红色高亮,表T23-R7-C2,"(245,45)→(245,35)→(80,35)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W59,红色高亮,表T23-R8-C2,"(80,80)→(270,80)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W60,红色高亮,表T23-R9-C2,"(270,80)→(300,80)→(300,35)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W61,红色高亮,表T23-R10-C2,"(372,30)→(400,30)",已改或已清标，但本轮仍需技术复核,"B2,B3",34:31-35:11,07,保留结构后改值/改正,管线表、坐标、管损与总平面
W62,黄色,表T24-R2-C2,细格栅、沉砂,已改或已清标，但本轮仍需技术复核,22,37:30-40:13,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W63,黄色,表T24-R3-C2,2井→4池,已改或已清标，但本轮仍需技术复核,22,37:30-40:13,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W64,黄色,表T24-R4-C2,4系列,已改或已清标，但本轮仍需技术复核,22,37:30-40:13,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W65,黄色,表T24-R5-C2,4井→8池,已改或已清标，但本轮仍需技术复核,22,37:30-40:13,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
W66,黄色,表T24-R6-C2,2格接触池/2计量渠,已改或已清标，但本轮仍需技术复核,"22,23",37:30-40:13,06,保留结构后改值/改正,配水表、接触池、流程图与终端图
